CODE	# Samples	# Samples w/ PA SNV only	# Samples w/ PA CNV only	# Samples w/ PA SNV and CNV	# Samples w/ PA	% Samples w/ PA SNV only	% Samples w/ PA CNV only	% Samples w/ PA SNV and CNV	% Samples w/ PA	label
LGG	505	367	30	93	490	72.67326732673267	5.9405940594059405	18.415841584158414	97.02970297029702	LGG (n=505)
SKCM	324	134	20	149	303	41.358024691358025	6.172839506172839	45.98765432098765	93.51851851851852	SKCM (n=324)
GBM	299	21	143	108	272	7.023411371237458	47.82608695652174	36.12040133779264	90.96989966555184	GBM (n=299)
ESCA	170	11	90	48	149	6.470588235294119	52.94117647058824	28.235294117647058	87.6470588235294	ESCA (n=170)
BLCA	382	79	103	128	310	20.680628272251308	26.96335078534031	33.50785340314136	81.15183246073299	BLCA (n=382)
PAAD	153	53	5	65	123	34.64052287581699	3.2679738562091507	42.48366013071895	80.3921568627451	PAAD (n=153)
LUAD	425	183	54	102	339	43.05882352941177	12.705882352941176	24.0	79.76470588235294	LUAD (n=425)
UCEC	381	219	39	39	297	57.48031496062992	10.236220472440944	10.236220472440944	77.95275590551181	UCEC (n=381)
LUSC	449	85	135	115	335	18.93095768374165	30.066815144766146	25.612472160356347	74.61024498886414	LUSC (n=449)
COAD	223	132	7	27	166	59.19282511210763	3.1390134529147984	12.10762331838565	74.43946188340807	COAD (n=223)
BRCA	770	255	178	137	570	33.116883116883116	23.116883116883116	17.792207792207794	74.02597402597402	BRCA (n=770)
HNSC	492	80	170	104	354	16.260162601626014	34.552845528455286	21.138211382113823	71.95121951219512	HNSC (n=492)
THCA	482	325	10	6	341	67.42738589211619	2.0746887966804977	1.2448132780082988	70.74688796680498	THCA (n=482)
CHOL	34	12	7	5	24	35.294117647058826	20.588235294117645	14.705882352941178	70.58823529411765	CHOL (n=34)
STAD	354	63	135	51	249	17.796610169491526	38.13559322033898	14.40677966101695	70.33898305084746	STAD (n=354)
READ	81	47	4	5	56	58.0246913580247	4.938271604938271	6.172839506172839	69.1358024691358	READ (n=81)
UCS	54	15	12	9	36	27.77777777777778	22.22222222222222	16.666666666666664	66.66666666666666	UCS (n=54)
SARC	200	9	109	14	132	4.5	54.50000000000001	7.000000000000001	66.0	SARC (n=200)
DLBC	37	6	15	2	23	16.216216216216218	40.54054054054054	5.405405405405405	62.16216216216216	DLBC (n=37)
MESO	81	7	35	5	47	8.641975308641975	43.20987654320987	6.172839506172839	58.0246913580247	MESO (n=81)
CESC	264	90	37	23	150	34.090909090909086	14.015151515151514	8.712121212121213	56.81818181818182	CESC (n=264)
OV	394	44	133	31	208	11.16751269035533	33.756345177664976	7.868020304568528	52.79187817258884	OV (n=394)
LIHC	344	59	76	24	159	17.151162790697676	22.093023255813954	6.976744186046512	46.22093023255814	LIHC (n=344)
PRAD	468	32	134	18	184	6.837606837606838	28.63247863247863	3.8461538461538463	39.31623931623932	PRAD (n=468)
ACC	87	8	22	3	33	9.195402298850574	25.287356321839084	3.4482758620689653	37.93103448275862	ACC (n=87)
TGCT	144	34	11	3	48	23.61111111111111	7.638888888888889	2.083333333333333	33.33333333333333	TGCT (n=144)
LAML	131	30	3	3	36	22.900763358778626	2.2900763358778624	2.2900763358778624	27.480916030534353	LAML (n=131)
KIRP	268	40	19	1	60	14.925373134328357	7.08955223880597	0.3731343283582089	22.388059701492537	KIRP (n=268)
KIRC	353	49	18	1	68	13.881019830028329	5.099150141643059	0.28328611898017	19.263456090651555	KIRC (n=353)
PCPG	161	12	8	3	23	7.453416149068323	4.968944099378882	1.8633540372670807	14.285714285714285	PCPG (n=161)
THYM	121	5	6	3	14	4.132231404958678	4.958677685950414	2.479338842975207	11.570247933884298	THYM (n=121)
KICH	64	2	3	0	5	3.125	4.6875	0.0	7.8125	KICH (n=64)
UVM	80	2	3	0	5	2.5	3.75	0.0	6.25	UVM (n=80)
